edition,edition_id,country_noc,sport,athlete,athlete_id,position,medal,name,sex,birth_year,height,weight,country,Ano da Edição,Idade
1928 Winter Olympics,30,FRA,Skeleton,"Jean, Comte de Beaumont",42118,Did not start,,"Jean, Comte de Beaumont",Male,1904.0,178.33,80.78, France,1928,24.0
1928 Winter Olympics,30,FRA,Skeleton,Pierre Dormeuil,85267,Did not finish,,Pierre Dormeuil,Male,1887.0,198.0,88.0, France,1928,41.0
1948 Winter Olympics,33,FRA,Skeleton,Marcel Gayraud-Hirigoyen,86664,Did not finish,,Marcel Gayraud-Hirigoyen,Male,1898.0,178.33,80.78, France,1948,50.0
2002 Winter Olympics,47,FRA,Skeleton,Philippe Cavoret,101710,17,,Philippe Cavoret,Male,1968.0,180.0,83.0, France,2002,34.0
2002 Winter Olympics,47,JPN,Skeleton,Masaru Inada,101711,18,,Masaru Inada,Male,1978.0,174.0,82.0, Japan,2002,24.0
2002 Winter Olympics,47,JPN,Skeleton,Kazuhiro Koshi,101702,8,,Kazuhiro Koshi,Male,1964.0,173.0,76.0, Japan,2002,38.0
2002 Winter Olympics,47,JPN,Skeleton,Eiko Nakayama,101693,12,,Eiko Nakayama,Female,1970.0,160.0,55.0, Japan,2002,32.0
2006 Winter Olympics,49,JPN,Skeleton,Kazuhiro Koshi,101702,11,,Kazuhiro Koshi,Male,1964.0,173.0,76.0, Japan,2006,42.0
2006 Winter Olympics,49,FRA,Skeleton,Philippe Cavoret,101710,14,,Philippe Cavoret,Male,1968.0,180.0,83.0, France,2006,38.0
2006 Winter Olympics,49,JPN,Skeleton,Masaru Inada,101711,18,,Masaru Inada,Male,1978.0,174.0,82.0, Japan,2006,28.0
2006 Winter Olympics,49,JPN,Skeleton,Eiko Nakayama,101693,14,,Eiko Nakayama,Female,1970.0,160.0,55.0, Japan,2006,36.0
1968 Winter Olympics,38,FRA,Luge,Georges Tresallet,98371,29,,Georges Tresallet,Male,1937.0,174.0,70.0, France,1968,31.0
1968 Winter Olympics,38,FRA,Luge,Jean-Pierre De Petro,85075,35,,Jean-Pierre De Petro,Male,1939.0,170.0,101.0, France,1968,29.0
1968 Winter Olympics,38,ESP,Luge,Jesús Gatell,85976,42,,Jesús Gatell,Male,1943.0,173.91,75.59, Spain,1968,25.0
1968 Winter Olympics,38,FRA,Luge,Ion Pervilhac Fournier,96349,38,,Ion Pervilhac Fournier,Male,1947.0,177.0,65.0, France,1968,21.0
1968 Winter Olympics,38,FRA,Luge,Pierre Larchier,89428,Did not start,,Pierre Larchier,Male,1947.0,173.0,70.0, France,1968,21.0
1968 Winter Olympics,38,ESP,Luge,Jorge Monjo,95542,43,,Jorge Monjo,Male,1944.0,173.91,75.59, Spain,1968,24.0
1968 Winter Olympics,38,ESP,Luge,Luis Omedes,96063,45,,Luis Omedes,Male,1938.0,173.91,75.59, Spain,1968,30.0
1968 Winter Olympics,38,ESP,Luge,Jorge Roura,96968,44,,Jorge Roura,Male,1946.0,173.91,75.59, Spain,1968,22.0
1968 Winter Olympics,38,FRA,Luge,Ion Pervilhac Fournier,96349,11,,Ion Pervilhac Fournier,Male,1947.0,177.0,65.0, France,1968,21.0
1968 Winter Olympics,38,FRA,Luge,Georges Tresallet,98371,11,,Georges Tresallet,Male,1937.0,174.0,70.0, France,1968,31.0
1968 Winter Olympics,38,FRA,Luge,Jacqueline Barasinski,80592,20,,Jacqueline Barasinski,Female,1947.0,161.0,58.0, France,1968,21.0
1968 Winter Olympics,38,FRA,Luge,Sylvette Grassi,81188,19,,Sylvette Grassi,Female,1949.0,165.0,57.0, France,1968,19.0
1972 Winter Olympics,39,JPN,Luge,Masatoshi Kobayashi,88071,24,,Masatoshi Kobayashi,Male,1948.0,168.0,65.0, Japan,1972,24.0
1972 Winter Olympics,39,JPN,Luge,Kazuaki Ichikawa,87313,20,,Kazuaki Ichikawa,Male,1949.0,178.0,75.0, Japan,1972,23.0
1972 Winter Olympics,39,FRA,Luge,Pierre Larchier,89428,36,,Pierre Larchier,Male,1947.0,173.0,70.0, France,1972,25.0
1972 Winter Olympics,39,JPN,Luge,Satoru Arai,83673,26,,Satoru Arai,Male,1947.0,171.0,67.0, Japan,1972,25.0
1972 Winter Olympics,39,JPN,Luge,Masako Eguchi,85433,18,,Masako Eguchi,Male,1949.0,181.0,78.0, Japan,1972,23.0
1972 Winter Olympics,39,JPN,Luge,Masako Eguchi,85433,18,,Masako Eguchi,Male,1949.0,181.0,78.0, Japan,1972,23.0
1972 Winter Olympics,39,JPN,Luge,Kazuaki Ichikawa,87313,18,,Kazuaki Ichikawa,Male,1949.0,178.0,75.0, Japan,1972,23.0
1972 Winter Olympics,39,JPN,Luge,Masatoshi Kobayashi,88071,4,,Masatoshi Kobayashi,Male,1948.0,168.0,65.0, Japan,1972,24.0
1972 Winter Olympics,39,JPN,Luge,Satoru Arai,83673,4,,Satoru Arai,Male,1947.0,171.0,67.0, Japan,1972,25.0
1972 Winter Olympics,39,JPN,Luge,Hiroko Shibuya,82370,13,,Hiroko Shibuya,Female,1947.0,158.0,59.0, Japan,1972,25.0
1972 Winter Olympics,39,JPN,Luge,Miyako Kawase,81461,19,,Miyako Kawase,Female,1951.0,170.0,68.0, Japan,1972,21.0
1972 Winter Olympics,39,JPN,Luge,Yuko Otaka,81978,5,,Yuko Otaka,Female,1950.0,155.0,62.0, Japan,1972,22.0
1976 Winter Olympics,40,JPN,Luge,Kazuaki Ichikawa,87313,27,,Kazuaki Ichikawa,Male,1949.0,178.0,75.0, Japan,1976,27.0
1976 Winter Olympics,40,JPN,Luge,Hidetoshi Sato,97178,24,,Hidetoshi Sato,Male,1950.0,177.0,88.0, Japan,1976,26.0
1976 Winter Olympics,40,JPN,Luge,Kazuaki Ichikawa,87313,18,,Kazuaki Ichikawa,Male,1949.0,178.0,75.0, Japan,1976,27.0
1976 Winter Olympics,40,JPN,Luge,Masaaki Oyagi,96124,18,,Masaaki Oyagi,Male,1948.0,169.0,62.0, Japan,1976,28.0
1976 Winter Olympics,40,FRA,Luge,Marie-Thérèse Bonnet,80696,17,,Marie-Thérèse Bonnet,Female,1955.0,161.7,61.45, France,1976,21.0
1976 Winter Olympics,40,JPN,Luge,Teruko Yamada,83077,20,,Teruko Yamada,Female,1956.0,163.0,67.0, Japan,1976,20.0
1976 Winter Olympics,40,JPN,Luge,Mieko Ogawa,81974,19,,Mieko Ogawa,Female,1949.0,158.0,60.0, Japan,1976,27.0
1980 Winter Olympics,41,JPN,Luge,Takashi Takagi,98119,23,,Takashi Takagi,Male,1962.0,173.0,67.0, Japan,1980,18.0
1980 Winter Olympics,41,JPN,Luge,Koji Kuriyama,88719,19,,Koji Kuriyama,Male,1960.0,171.0,75.0, Japan,1980,20.0
1980 Winter Olympics,41,JPN,Luge,Koji Kuriyama,88719,13,,Koji Kuriyama,Male,1960.0,171.0,75.0, Japan,1980,20.0
1980 Winter Olympics,41,JPN,Luge,Takashi Takagi,98119,13,,Takashi Takagi,Male,1962.0,173.0,67.0, Japan,1980,18.0
1984 Winter Olympics,42,JPN,Luge,Tsukasa Hirakawa,86660,24,,Tsukasa Hirakawa,Male,1964.0,166.0,64.0, Japan,1984,20.0
